entidad,relacion,objeto,source_file
Lisvel Elisa Eve,Lugar de nacimiento,Puerto Plata,republica_dominicana
Lisvel Elisa Eve,Ocupación,voleibolista,republica_dominicana
Lisvel Elisa Eve,Ciudadanía,República Dominicana,republica_dominicana
Lisvel Elisa Eve,Fecha de nacimiento,1991-09-10,republica_dominicana
Marianne Cruz,Lugar de nacimiento,Salcedo,republica_dominicana
Marianne Cruz,Ocupación,modelo,republica_dominicana
Marianne Cruz,Ciudadanía,República Dominicana,republica_dominicana
Marianne Cruz,Fecha de nacimiento,1985-04-23,republica_dominicana
Marianne Cruz,Ocupación,comunicador,republica_dominicana
Marianne Cruz,Ocupación,participante en concursos de belleza,republica_dominicana
Valentín Reynoso Hidalgo,Lugar de nacimiento,María Trinidad Sánchez,republica_dominicana
Valentín Reynoso Hidalgo,Ocupación,sacerdote católico,republica_dominicana
Valentín Reynoso Hidalgo,Ciudadanía,República Dominicana,republica_dominicana
Valentín Reynoso Hidalgo,Educado en,Pontificia Universidad Gregoriana,republica_dominicana
Valentín Reynoso Hidalgo,Cargo,obispo titular,republica_dominicana
Valentín Reynoso Hidalgo,Fecha de nacimiento,1942-12-16,republica_dominicana
Valentín Reynoso Hidalgo,Ocupación,obispo católico,republica_dominicana
Valentín Reynoso Hidalgo,Cargo,Obispo auxiliar de Santiago de los Caballeros,republica_dominicana
Jeoselyna Rodríguez,Lugar de nacimiento,Santo Domingo,republica_dominicana
Jeoselyna Rodríguez,Ocupación,voleibolista,republica_dominicana
Jeoselyna Rodríguez,Ciudadanía,República Dominicana,republica_dominicana
Jeoselyna Rodríguez,Fecha de nacimiento,1991-12-09,republica_dominicana
Violeta Stephen,Lugar de nacimiento,San Pedro de Macorís,republica_dominicana
Violeta Stephen,Ocupación,cantante,republica_dominicana
Violeta Stephen,Ciudadanía,República Dominicana,republica_dominicana
Violeta Stephen,Fecha de nacimiento,1929-11-21,republica_dominicana
Victor Emilio Masalles Pere,Lugar de nacimiento,Barcelona,republica_dominicana
Victor Emilio Masalles Pere,Ocupación,economista,republica_dominicana
Victor Emilio Masalles Pere,Ciudadanía,República Dominicana,republica_dominicana
Victor Emilio Masalles Pere,Educado en,Pontificia Universidad Gregoriana,republica_dominicana
Victor Emilio Masalles Pere,Cargo,obispo titular,republica_dominicana
Victor Emilio Masalles Pere,Fecha de nacimiento,1961-06-29,republica_dominicana
Victor Emilio Masalles Pere,Ocupación,sacerdote católico,republica_dominicana
Victor Emilio Masalles Pere,Ocupación,obispo católico,republica_dominicana
Victor Emilio Masalles Pere,Ocupación,nadador,republica_dominicana
Victor Emilio Masalles Pere,Cargo,Obispo de Baní,republica_dominicana
Victor Emilio Masalles Pere,Cargo,Obispo auxiliar de la Arquidiócesis de Santo Domingo,republica_dominicana
Wendy Cruz,Lugar de nacimiento,Santiago de los Caballeros,republica_dominicana
Wendy Cruz,Ocupación,ciclista,republica_dominicana
Wendy Cruz,Ciudadanía,República Dominicana,republica_dominicana
Wendy Cruz,Fecha de nacimiento,1976-03-07,republica_dominicana
Francisco García,Lugar de nacimiento,Santo Domingo,republica_dominicana
Francisco García,Ocupación,baloncestista,republica_dominicana
Francisco García,Ciudadanía,República Dominicana,republica_dominicana
Francisco García,Educado en,Universidad de Louisville,republica_dominicana
Francisco García,Fecha de nacimiento,1980-12-31,republica_dominicana
Francisco García,Fecha de nacimiento,1981-12-31,republica_dominicana
Francisco García,Educado en,Cheshire Academy,republica_dominicana
